lang_pair,source_lang,target_lang,n_shards_in,n_shards_out,rows_total,rows_scored,rows_failed,mean_score,elapsed_sec
ilo_Latn-sin_Sinh,ilo_Latn,sin_Sinh,1,1,42178,42178,0,0.2379,1268.0
epo_Latn-nep_Deva,epo_Latn,nep_Deva,1,1,157549,157544,5,0.3965,4149.5
nor_Latn-sin_Sinh,nor_Latn,sin_Sinh,1,1,673082,672991,91,0.5351,13181.0
asm_Beng-mai_Deva,asm_Beng,mai_Deva,1,1,112394,112385,9,0.3241,3346.5
nor_Latn-snd_Arab,nor_Latn,snd_Arab,1,1,55917,55915,2,0.1573,2638.7
mai_Deva-tel_Telu,mai_Deva,tel_Telu,1,1,461894,461834,60,0.3185,11249.2
epo_Latn-nno_Latn,epo_Latn,nno_Latn,1,1,94903,94898,5,0.7567,3607.7
mal_Mlym-hbs_Latn,mal_Mlym,hbs_Latn,1,1,68353,68352,1,0.1465,2638.6
ilo_Latn-smo_Latn,ilo_Latn,smo_Latn,1,1,163346,163321,25,0.5548,6615.5
guj_Gujr-ory_Orya,guj_Gujr,ory_Orya,1,1,1487486,1487476,10,0.5442,36121.7
ilo_Latn-sqi_Latn,ilo_Latn,sqi_Latn,1,1,16626,16620,6,0.4456,936.6
nor_Latn-som_Latn,nor_Latn,som_Latn,1,1,122141,122125,16,0.3106,4966.3
mal_Mlym-khk_Cyrl,mal_Mlym,khk_Cyrl,1,1,81297,81290,7,0.6142,3082.6
als_Latn-sun_Latn,als_Latn,sun_Latn,1,1,85906,85884,22,0.6062,4750.5
mal_Mlym-kin_Latn,mal_Mlym,kin_Latn,1,1,24984,24984,0,0.1890,632.2
hne_Deva-nds_Latn,hne_Deva,nds_Latn,1,1,74386,74381,5,0.7326,3657.0
ilo_Latn-sun_Latn,ilo_Latn,sun_Latn,1,1,136671,136650,21,0.3154,4029.0
mal_Mlym-lzh_Hani,mal_Mlym,lzh_Hani,1,1,111670,111670,0,0.1562,3332.4
als_Latn-tel_Telu,als_Latn,tel_Telu,1,1,247025,246906,119,0.7052,5636.7
mal_Mlym-mon_Cyrl,mal_Mlym,mon_Cyrl,1,1,90111,90109,2,0.4419,3023.3
ilo_Latn-war_Latn,ilo_Latn,war_Latn,1,1,137560,137519,41,0.5683,4490.0
jav_Latn-fur_Latn,jav_Latn,fur_Latn,1,1,773,773,0,0.2970,44.9
jav_Latn-ltz_Latn,jav_Latn,ltz_Latn,1,1,38590,38578,12,0.0908,1205.3
ilo_Latn-swa_Latn,ilo_Latn,swa_Latn,1,1,11874,11874,0,0.3595,627.6
kan_Knda-mag_Deva,kan_Knda,mag_Deva,1,1,168706,168700,6,0.2194,7618.1
als_Latn-tgk_Cyrl,als_Latn,tgk_Cyrl,1,1,80441,80421,20,0.6044,3692.7
hbs_Latn-xho_Latn,hbs_Latn,xho_Latn,1,1,36760,36760,0,0.0539,1454.1
aze_Latn-xho_Latn,aze_Latn,xho_Latn,1,1,56129,56123,6,0.1850,2003.4
nep_Deva-swh_Latn,nep_Deva,swh_Latn,1,1,55486,55479,7,0.5597,1981.0
jav_Latn-lzh_Hani,jav_Latn,lzh_Hani,1,1,72469,72465,4,0.0771,2407.3
ars_Arab-als_Latn,ars_Arab,als_Latn,1,1,70797,70797,0,0.6774,2353.2
sun_Latn-yor_Latn,sun_Latn,yor_Latn,1,1,72333,72330,3,0.5507,2522.5
hne_Deva-mar_Deva,hne_Deva,mar_Deva,1,1,85429,85411,18,0.3481,3797.8
lug_Latn-tsn_Latn,lug_Latn,tsn_Latn,1,1,118757,118700,57,0.3257,5423.0
ars_Arab-isl_Latn,ars_Arab,isl_Latn,1,1,67464,67462,2,0.7381,3274.7
als_Latn-yue_Hani,als_Latn,yue_Hani,1,1,72134,72131,3,0.4805,5355.9
ewe_Latn-swh_Latn,ewe_Latn,swh_Latn,1,1,145110,145085,25,0.4721,6251.8
jav_Latn-mar_Deva,jav_Latn,mar_Deva,1,1,138898,138812,86,0.2344,6120.9
nep_Deva-xho_Latn,nep_Deva,xho_Latn,1,1,127333,127326,7,0.3774,5644.2
