model,source_lang,target_lang,n_pairs,n_datasets,mean,std,min,max,p01,p05,p10,p25,p50,p75,p90,p95,p99
microsoft/harrier-oss-v1-0.6b,azj_Latn,pol_Latn,1866,2,0.9078128337860107,0.030678236857056618,0.683800220489502,0.9799298048019409,0.8160430401563644,0.8522153496742249,0.8673854172229767,0.891651064157486,0.9119047522544861,0.9291740357875824,0.9430630803108215,0.9511852115392685,0.9609112411737442
microsoft/harrier-oss-v1-0.6b,bul_Cyrl,hne_Deva,1866,2,0.9060185551643372,0.03192659467458725,0.6865375638008118,0.9767263531684875,0.8041909039020538,0.8440317958593369,0.863605797290802,0.8893680572509766,0.9117014408111572,0.9283910989761353,0.9401617646217346,0.9463003575801849,0.958390599489212
microsoft/harrier-oss-v1-0.6b,ceb_Latn,est_Latn,1012,1,0.8966001868247986,0.03348252549767494,0.7503586411476135,0.9658415913581848,0.8000556826591492,0.8340415954589844,0.8507060647010803,0.8779086470603943,0.9007467329502106,0.9210615307092667,0.934809809923172,0.9413495123386383,0.9516959118843079
microsoft/harrier-oss-v1-0.6b,ben_Beng,ceb_Latn,1866,2,0.9016355872154236,0.03043624758720398,0.741340160369873,0.9693012833595276,0.8120255053043366,0.8474881052970886,0.8619007170200348,0.884503960609436,0.9050902724266052,0.9237996935844421,0.9368010461330414,0.9435572922229767,0.9564013361930847
microsoft/harrier-oss-v1-0.6b,bjn_Latn,por_Latn,1012,1,0.9032546281814575,0.035697091370821,0.5948063135147095,0.97366863489151,0.7963078552484513,0.8370530784130097,0.8576043248176575,0.8850152641534805,0.909054696559906,0.9270424097776413,0.9427400410175324,0.9500358790159226,0.9616344249248505
microsoft/harrier-oss-v1-0.6b,glg_Latn,swe_Latn,1866,2,0.9238763451576233,0.030900031328201294,0.764163613319397,0.9890325665473938,0.8223410218954086,0.8633950501680374,0.8839221000671387,0.9080369174480438,0.9291419684886932,0.9465319216251373,0.9573484063148499,0.9623136222362518,0.9717216968536376
microsoft/harrier-oss-v1-0.6b,aeb_Arab,bos_Latn,1012,1,0.8943895101547241,0.03474295511841774,0.684783935546875,0.976122260093689,0.7963388502597809,0.8275956153869629,0.8492947518825531,0.8744380921125412,0.8992770910263062,0.9198172688484192,0.9341196119785309,0.9413723170757293,0.9509537994861603
microsoft/harrier-oss-v1-0.6b,ell_Grek,ces_Latn,1866,2,0.9111919403076172,0.03109152615070343,0.7610926628112793,0.9735875725746155,0.8178306341171264,0.850764274597168,0.8720005452632904,0.8943680226802826,0.9159771800041199,0.933727815747261,0.9462116658687592,0.952461838722229,0.964037674665451
microsoft/harrier-oss-v1-0.6b,fra_Latn,tgk_Cyrl,1866,2,0.8892179727554321,0.031827960163354874,0.7342038154602051,0.9613231420516968,0.8003241568803787,0.8316995203495026,0.8456228375434875,0.8701163679361343,0.8929767608642578,0.9123201966285706,0.9273772239685059,0.9350125640630722,0.9475739955902099
microsoft/harrier-oss-v1-0.6b,hun_Latn,pol_Latn,1866,2,0.9176111817359924,0.030813168734312057,0.7538502216339111,0.9822158217430115,0.8275836616754532,0.8596370816230774,0.8754282295703888,0.9007189869880676,0.9224855303764343,0.9395312368869781,0.9514122605323792,0.958478644490242,0.9694673180580139
microsoft/harrier-oss-v1-0.6b,fin_Latn,vec_Latn,1012,1,0.8939048647880554,0.03186584264039993,0.7594934701919556,0.9639683961868286,0.8019707900285721,0.8326744556427002,0.8496109366416931,0.8775004893541336,0.8982484936714172,0.9163857251405716,0.9297376930713653,0.9374984979629517,0.9519731944799423
microsoft/harrier-oss-v1-0.6b,ita_Latn,kaz_Cyrl,1866,2,0.9019412398338318,0.03178461268544197,0.6559600830078125,0.9675207138061523,0.8044932454824447,0.8435275554656982,0.8594329655170441,0.885873556137085,0.9073129892349243,0.9246035516262054,0.9361415207386017,0.9427035748958588,0.9543960362672805
microsoft/harrier-oss-v1-0.6b,bos_Latn,slv_Latn,1866,2,0.9370580315589905,0.030842874199151993,0.7728766202926636,0.9999510049819946,0.8385743796825409,0.8788553327322006,0.8971027433872223,0.9216923117637634,0.9422581493854523,0.9588764160871506,0.9706378281116486,0.9761247634887695,0.9866238266229629
microsoft/harrier-oss-v1-0.6b,deu_Latn,srd_Latn,1012,1,0.8999095559120178,0.03593470901250839,0.7597447633743286,0.9660491943359375,0.7917259109020233,0.8307997703552246,0.8510958194732666,0.8808231949806213,0.9046700596809387,0.9256005138158798,0.9421623706817627,0.9494696378707885,0.9602139741182327
microsoft/harrier-oss-v1-0.6b,ind_Latn,ltz_Latn,1012,1,0.9030671119689941,0.03401288762688637,0.7589781284332275,0.9674116373062134,0.8059396159648895,0.835552653670311,0.8567257165908814,0.8843755275011063,0.908667802810669,0.9272717386484146,0.941770327091217,0.9485037386417389,0.9583703607320786
microsoft/harrier-oss-v1-0.6b,hne_Deva,hrv_Latn,1866,2,0.904266893863678,0.03212973475456238,0.6972067952156067,0.9686619639396667,0.811396136879921,0.8484472781419754,0.8622373938560486,0.8866344541311264,0.9091932475566864,0.9273914247751236,0.9405977427959442,0.9476211965084076,0.9589007198810577
microsoft/harrier-oss-v1-0.6b,afr_Latn,swe_Latn,1866,2,0.9191789627075195,0.03283014893531799,0.7355668544769287,0.9999464750289917,0.8138814955949784,0.8578124195337296,0.8755051791667938,0.9015333354473114,0.9249555468559265,0.9427174776792526,0.9556887149810791,0.9612891674041748,0.9706557571887969
microsoft/harrier-oss-v1-0.6b,ben_Beng,tat_Cyrl,1866,2,0.893805742263794,0.032916802912950516,0.7435351610183716,0.9732851982116699,0.799942460656166,0.8357903063297272,0.8508711159229279,0.8743362873792648,0.8979210257530212,0.9180579334497452,0.9311135709285736,0.9403978586196899,0.9539621561765671
microsoft/harrier-oss-v1-0.6b,cat_Latn,ell_Grek,1866,2,0.9087696075439453,0.032525256276130676,0.67091965675354,0.9780808091163635,0.8132489383220672,0.8459109365940094,0.8661670982837677,0.8915982395410538,0.9137096107006073,0.9321602135896683,0.944828450679779,0.9524690061807632,0.9629485517740249
microsoft/harrier-oss-v1-0.6b,deu_Latn,mal_Mlym,1866,2,0.9002730846405029,0.0314045250415802,0.6489108800888062,0.9672544002532959,0.8109966218471527,0.8413214981555939,0.8586976826190948,0.8836034536361694,0.9060618877410889,0.9221432358026505,0.9337349236011505,0.9406344890594482,0.9519116640090942
microsoft/harrier-oss-v1-0.6b,ell_Grek,slk_Latn,1866,2,0.9093191027641296,0.030696963891386986,0.7597311735153198,0.9748927354812622,0.8190326541662216,0.8519664108753204,0.8691432476043701,0.8925032019615173,0.9136199653148651,0.9309871792793274,0.9445269703865051,0.9510698020458221,0.9631043404340743
microsoft/harrier-oss-v1-0.6b,bul_Cyrl,zul_Latn,1866,2,0.8789734244346619,0.030372831970453262,0.6368897557258606,0.957683265209198,0.7963604211807251,0.8259182721376419,0.8401764333248138,0.8605408072471619,0.8822344243526459,0.8999288082122803,0.9158342182636261,0.9232956320047379,0.9355300456285477
