direction_key,winner_model,winner_avg_score,num_sentences,rate_per_hour,est_hours
afr_Latn-bem_Latn,metricx24,0.576484818,229684,1200000,0.2
afr_Latn-ben_Beng,qwen3-4b-instruct-2507,0.934808,739652,28000,26.4
afr_Latn-bos_Latn,qwen3-4b-instruct-2507,0.936625,157407,28000,5.6
afr_Latn-bre_Latn,metricx24,unknown,72149,1200000,0.1
afr_Latn-bul_Cyrl,metricx24,0.867886,2053074,1200000,1.7
afr_Latn-cat_Latn,qwen3-4b-instruct-2507,0.939577,1380490,28000,49.3
afr_Latn-ceb_Latn,qwen3-4b-instruct-2507,0.918342,68829,28000,2.5
afr_Latn-ces_Latn,qwen3-4b-instruct-2507,0.951812,1316008,28000,47.0
afr_Latn-cmn_Hani,metricx24,unknown,360995,1200000,0.3
afr_Latn-cym_Latn,shaomutan_remedy-9b-22,0.906576921,639172,200000,3.2
afr_Latn-dan_Latn,metricx24,0.882208,2426822,1200000,2.0
afr_Latn-deu_Latn,metricx24,0.93996,6775117,1200000,5.6
afr_Latn-dyu_Latn,metricx24,0.270256012,101110,1200000,0.1
afr_Latn-ekk_Latn,metricx24,unknown,1003925,1200000,0.8
afr_Latn-ell_Grek,qwen3-4b-instruct-2507,0.950577,1102985,28000,39.4
afr_Latn-eng_Latn,metricx24,0.862843,50911992,1200000,42.4
afr_Latn-epo_Latn,shaomutan_remedy-9b-22,0.916931633,459761,200000,2.3
afr_Latn-est_Latn,shaomutan_remedy-9b-22,0.911224727,348977,200000,1.7
afr_Latn-eus_Latn,shaomutan_remedy-9b-22,0.915968302,345465,200000,1.7
afr_Latn-ewe_Latn,metricx24,0.407252141,536785,1200000,0.4
afr_Latn-fas_Arab,metricx24,unknown,1105028,1200000,0.9
afr_Latn-fil_Latn,metricx24,unknown,328844,1200000,0.3
afr_Latn-fin_Latn,shaomutan_remedy-9b-22,0.926797216,1911255,200000,9.6
afr_Latn-fon_Latn,qwen3-4b-instruct-2507,0.310981,209554,28000,7.5
afr_Latn-fra_Latn,metricx24,0.875757,12786458,1200000,10.7
afr_Latn-fry_Latn,metricx24,unknown,158929,1200000,0.1
afr_Latn-fur_Latn,qwen3-4b-instruct-2507,0.860169,160570,28000,5.7
afr_Latn-gaz_Latn,metricx24,0.571758016,186337,1200000,0.2
afr_Latn-gle_Latn,m-prometheus-7b,0.875355898,458939,27000,17.0
afr_Latn-glg_Latn,qwen3-4b-instruct-2507,0.947511,530118,28000,18.9
afr_Latn-guj_Gujr,qwen3-4b-instruct-2507,0.949303,193064,28000,6.9
afr_Latn-hat_Latn,shaomutan_remedy-9b-22,0.877704386,251651,200000,1.3
afr_Latn-hau_Latn,shaomutan_remedy-9b-22,0.851740968,1906583,200000,9.5
afr_Latn-heb_Hebr,qwen3-4b-instruct-2507,0.959164,970205,28000,34.7
afr_Latn-hin_Deva,shaomutan_remedy-9b-22,0.936989307,1235448,200000,6.2
afr_Latn-hrv_Latn,qwen3-4b-instruct-2507,0.93232,1921431,28000,68.6
afr_Latn-hun_Latn,qwen3-4b-instruct-2507,0.936979,1347788,28000,48.1
afr_Latn-hye_Armn,shaomutan_remedy-9b-22,0.939247765,316610,200000,1.6
afr_Latn-ibo_Latn,shaomutan_remedy-9b-22,0.789143449,868004,200000,4.3
afr_Latn-ind_Latn,shaomutan_remedy-9b-22,0.933940312,2290231,200000,11.5
afr_Latn-isl_Latn,shaomutan_remedy-9b-22,0.918196217,1211598,200000,6.1
afr_Latn-ita_Latn,metricx24,0.899268,2711047,1200000,2.3
afr_Latn-jav_Latn,qwen3-4b-instruct-2507,0.862962,192844,28000,6.9
afr_Latn-jpn_Jpan,qwen3-4b-instruct-2507,0.949726,1632738,28000,58.3
afr_Latn-kan_Knda,shaomutan_remedy-9b-22,0.94199981,191700,200000,1.0
afr_Latn-kat_Geor,shaomutan_remedy-9b-22,0.931347373,428659,200000,2.1
afr_Latn-kau_Zyyy,metricx24,unknown,692617,1200000,0.6
afr_Latn-kaz_Cyrl,shaomutan_remedy-9b-22,0.952251615,415711,200000,2.1
afr_Latn-khk_Cyrl,metricx24,0.827955318,95610,1200000,0.1
afr_Latn-khm_Khmr,shaomutan_remedy-9b-22,0.932350586,203473,200000,1.0
afr_Latn-kik_Latn,shaomutan_remedy-9b-22,0.732285589,115815,200000,0.6
afr_Latn-kin_Latn,shaomutan_remedy-9b-22,0.83193159,1098665,200000,5.5
afr_Latn-kir_Cyrl,shaomutan_remedy-9b-22,0.909177383,104459,200000,0.5
afr_Latn-kmr_Latn,metricx24,0.739069358,79191,1200000,0.1
afr_Latn-kon_Latn,shaomutan_remedy-9b-22,0.605016195,91727,200000,0.5
afr_Latn-kor_Hang,qwen3-4b-instruct-2507,0.950428,785414,28000,28.1
afr_Latn-kor_Zyyy,metricx24,unknown,363117,1200000,0.3
afr_Latn-lao_Laoo,qwen3-4b-instruct-2507,0.891498,72064,28000,2.6
afr_Latn-lat_Latn,metricx24,unknown,85639,1200000,0.1
afr_Latn-lav_Latn,metricx24,unknown,190711,1200000,0.2
afr_Latn-lim_Latn,shaomutan_remedy-9b-22,0.815224021,54651,200000,0.3
afr_Latn-lin_Latn,shaomutan_remedy-9b-22,0.717706482,320180,200000,1.6
afr_Latn-lit_Latn,shaomutan_remedy-9b-22,0.916474081,1451614,200000,7.3
